== Temperaturas máximas y mínimas por estación ==
TERMAS DE RIO HONDO AERO: Tmax=42.7, Tmin=-3.0
TINOGASTA: Tmax=41.6, Tmin=-8.5
TRELEW AERO: Tmax=43.6, Tmin=-13.2
TRENQUE LAUQUEN: Tmax=38.5, Tmin=-5.1
TRES ARROYOS: Tmax=36.8, Tmin=-5.0
TUCUMAN AERO: Tmax=41.7, Tmin=-0.6
USHUAIA AERO: Tmax=19.1, Tmin=-4.8
USPALLATA: Tmax=36.7, Tmin=-11.2
VENADO TUERTO AERO: Tmax=37.2, Tmin=-8.0
VICTORICA: Tmax=41.1, Tmin=-11.0
VIEDMA AERO: Tmax=36.6, Tmin=-5.4
VILLA DE MARIA DEL RIO SECO: Tmax=42.2, Tmin=-8.4
VILLA DOLORES AERO: Tmax=40.8, Tmin=-8.4
VILLA GESELL AERO: Tmax=39.1, Tmin=-6.4
VILLA REYNOLDS AERO: Tmax=41.0, Tmin=-12.7
CHILECITO AERO: Tmax=38.2, Tmin=-5.0

== Amplitud térmica ==
Mayor: JACHAL día 13102024 con 35.6°C
Menor: BASE CARLINI (EX JUBANY) día 28112024 con 0.7°C

== Diferencias entre estaciones ==
Máxima diferencia 33.0°C en 24072025: JACHAL(34.1) vs SANTA ROSA DE CONLARA AERO(1.1)
Mínima diferencia 0.0°C en 17082025: AEROPARQUE AERO(4.2) vs BUENOS AIRES OBSERVATORIO(4.2)
